order_id;Tanggal_Order;Waktu_Pesan;Nama_Pemesan;No_Resi;Produk;Kategori;Jumlah_Pesanan;Harga;Diskon;Total_Harga;Profit;Kota_Pengiriman - Media_Pemesanan;Admin_Proses;Ekspedisi;Rating
odr045;19/01/2018;07:06:12;Alfie Billin;33261-963;T-Shirt;;24;;10;;;Bali - Lazada;Abraham;Shopee Express;1
odr046;04/01/2018;13:12:32;Mufinella Codling;63824-720;Topi;;25;;32;;;Bogor - Tokopedia;Elon;Shopee Express;2
odr047;22/01/2018;18:21:45;Robinett Normanell;10056-105;Oversized T-Shirt;;12;;;;;Semarang - Tiktok;Jeff;Wahana;3
odr048;06/01/2018;14:51:07;Marius Abrey;98132-725;Oversized T-Shirt;;10;;;;;Semarang - Tokopedia;Abraham;Shopee Express;5
odr049;08/01/2018;08:17:31;Benedict Vigrass;41520-141;T-Shirt;;8;;;;;Bogor - Website;Mark;Tiki;5
odr050;28/01/2018;03:54:47;Tobe Tarn;52125-748;Sweater;;5;;;;;Bogor - FB Marketplace;Elon;Shopee Express;1
odr051;06/01/2018;06:30:52;Onfroi Iskower;57955-8699;Topi;;1;;;;;Bali - Website;Abraham;JNT;5
odr052;05/01/2018;02:21:49;Wilmar Lindman;63777-262;T-Shirt;;19;;;;;Depok - Website;Jeff;Shopee Express;4
odr053;06/01/2018;21:37:32;Annice Gurnay;10345-022;Cargo Pants;;23;;16;;;Depok - Website;Mark;Wahana;1
odr054;01/01/2018;14:21:22;Paton Goney;62670-4808;Cargo Pants;;24;;;;;Tangerang - Lazada;Jeff;POS Indonesia;3
odr055;30/01/2018;00:21:10;Daune Ilyukhov;0363-0342;Cargo Pants;;17;;;;;Yogyakarta - Shopee;Wanokuni;JNE;4
odr056;24/01/2018;01:51:08;Monica Fletham;0179-0151;Sweater;;16;;;;;Depok - Lazada;Wanokuni;JNT;3
odr057;21/01/2018;00:11:25;Xylia Lanbertoni;0067-2053;Oversized T-Shirt;;8;;27;;;Yogyakarta - Shopee;Mark;Wahana;5
odr058;04/01/2018;06:22:14;Marisa Seamarke;52125-301;T-Shirt;;2;;13;;;Depok - Instagram;Elon;SiCepat;2
odr059;27/01/2018;12:56:40;Farr Rideout;64117-283;Parka Jackets;;4;;;;;Bandung - Tiktok;Nami;Wahana;2
odr060;09/01/2018;04:00:47;Marion Lenihan;16590-950;Sweater;;21;;24;;;Depok - Tokopedia;Wanokuni;Shopee Express;1
odr061;23/01/2018;04:08:23;Maura Kalisch;57520-1003;T-Shirt;;20;;;;;Semarang - Shopee;Jeff;Shopee Express;2
odr062;28/01/2018;03:52:34;Melessa Grancher;58809-729;Oversized T-Shirt;;21;;15;;;Depok - Tokopedia;Nami;JNE;4
odr063;12/01/2018;21:28:58;Laird Sidery;0378-0525;T-Shirt;;21;;18;;;Bali - Tokopedia;Mark;Shopee Express;2
odr064;22/01/2018;02:57:47;Benjy Easen;54575-306;Topi;;10;;;;;Bali - Instagram;Rizal;SiCepat;4
odr065;27/01/2018;06:01:09;Lek Benet;42254-131;T-Shirt;;11;;35;;;Tangerang - Lazada;Elon;Wahana;3
odr066;28/01/2018;15:55:01;Bill Humphris;68382-099;Parka Jackets;;18;;32;;;Depok - Whatsapp;Mark;Tiki;1
odr067;20/01/2018;00:33:54;Melosa Brehat;0944-3045;T-Shirt;;15;;;;;Bandung - Website;Mark;Tiki;4
odr068;18/01/2018;14:01:29;Marius Abrey;63739-484;T-Shirt;;20;;;;;;Abraham;Wahana;1
odr069;04/01/2018;01:33:52;Kristofor Sumner;0093-8119;Sweater;;7;;;;;Semarang - Website;Jeff;Shopee Express;3
odr070;22/01/2018;10:42:47;Inga Sekulla;36987-1937;T-Shirt;;7;;21;;;Tangerang - Tiktok;Rizal;JNT;1
odr071;27/01/2018;00:36:24;Dorothy Melton;68196-142;T-Shirt;;21;;9;;;Bogor - Instagram;Elon;JNE;5
odr072;01/01/2018;12:37:08;Sandra Forde;62936-0042;T-Shirt;;12;;;;;Tangerang - Shopee;Mark;Tiki;4
odr073;24/01/2018;22:09:50;Carroll Conklin;25000-133;Parka Jackets;;15;;;;;Jakarta - Instagram;Rizal;SiCepat;1
odr074;13/01/2018;17:39:34;Jeramey Crummay;55154-5625;T-Shirt;;23;;20;;;Tangerang - Website;Mark;JNE;4
odr075;10/01/2018;14:08:43;Lauren Antoniat;36987-1206;Oversized T-Shirt;;20;;28;;;;Elon;JNT;4
odr076;26/01/2018;17:32:36;Jo-anne Reneke;49349-474;T-Shirt;;10;;;;;Bandung - Lazada;Rizal;SiCepat;4
odr077;08/01/2018;12:31:25;Benedikt Hymans;50523-632;Oversized T-Shirt;;13;;12;;;Bandung - FB Marketplace;Nami;Shopee Express;4
odr078;22/01/2018;06:49:31;Lilith Bradfield;52959-547;Parka Jackets;;3;;;;;Bali - Tiktok;Nami;POS Indonesia;5
odr079;10/01/2018;07:39:00;Ken Hadden;0093-2748;T-Shirt;;21;;27;;;Bogor - Lazada;Nami;;5
odr080;27/01/2018;09:54:04;Gayle Pancoast;52959-812;Mug;;23;;26;;;Yogyakarta - Lazada;Rizal;Shopee Express;4
odr081;29/01/2018;16:39:59;Aylmar Sannes;23155-105;Oversized T-Shirt;;1;;34;;;Depok - Tiktok;Mark;SiCepat;1
odr082;05/01/2018;16:18:12;Roderigo Marusik;55154-5382;T-Shirt;;10;;;;;Bali - Website;Nami;Tiki;5
odr083;19/01/2018;09:21:14;Crysta Ward;0527-1407;Oversized T-Shirt;;3;;;;;Depok - Shopee;Abraham;JNT;5
odr084;17/01/2018;07:55:34;Odille Lafay;0187-0453;Parka Jackets;;14;;23;;;Semarang - Tokopedia;Nami;JNT;1
odr085;24/01/2018;22:34:24;Gregoor Gooms;64117-839;T-Shirt;;15;;;;;Bali - Tokopedia;Wanokuni;SiCepat;4
odr086;27/01/2018;05:42:11;Tracey Haskew;49543-738;Oversized T-Shirt;;22;;;;;;Rizal;Shopee Express;5
odr087;29/01/2018;21:24:45;Marisa Seamarke;0944-0490;T-Shirt;;23;;;;;Bandung - Instagram;Mark;Tiki;2
odr088;17/01/2018;02:30:55;Gil Sailer;50988-230;Oversized T-Shirt;;25;;;;;Yogyakarta - Whatsapp;Nami;JNE;1
odr089;21/01/2018;12:19:53;Nealson Heeps;54569-1285;Topi;;2;;5;;;Depok - Tiktok;Mark;POS Indonesia;5
odr090;28/01/2018;22:10:53;Reynard Chrstine;60429-340;T-Shirt;;22;;;;;Tangerang - Instagram;Abraham;Shopee Express;3
odr091;14/01/2018;15:29:53;Molli Cothey;45014-140;Oversized T-Shirt;;2;;29;;;Yogyakarta - FB Marketplace;Nami;Wahana;4
odr092;16/01/2018;17:51:11;Ailey Wallbutton;0093-9604;Topi;;1;;;;;Semarang - Instagram;Jeff;Tiki;2
odr093;28/01/2018;03:49:04;Ruddy Vedekhov;36987-2000;Parka Jackets;;17;;22;;;Bali - FB Marketplace;Nami;Shopee Express;5
odr094;20/01/2018;21:15:19;Helenelizabeth Brewster;55714-4429;Oversized T-Shirt;;19;;17;;;Semarang - Whatsapp;Rizal;POS Indonesia;1
odr095;17/01/2018;04:50:18;Kile Artist;99207-464;Parka Jackets;;2;;;;;Depok - Lazada;Elon;Shopee Express;2
odr096;25/01/2018;15:56:42;Johanna Nann;48404-037;T-Shirt;;14;;;;;Bandung - Lazada;Nami;Tiki;3
odr097;27/01/2018;13:06:13;Cesaro MacNulty;21695-802;T-Shirt;;13;;13;;;;Nami;Tiki;3
odr098;09/01/2018;22:15:18;Frieda Spaule;35356-991;Sweater;;18;;;;;Bogor - Lazada;Jeff;Shopee Express;1
odr099;01/01/2018;01:38:58;Kurt Alexandre;63777-806;T-Shirt;;16;;;;;Tangerang - Website;Wanokuni;JNE;1
odr100;14/01/2018;22:10:28;Lizette Hartness;60846-809;T-Shirt;;7;;17;;;Bogor - Tokopedia;Elon;;1
odr101;09/01/2018;13:32:27;Krystyna Bulteel;55301-243;Sweater;;2;;;;;Yogyakarta - Website;Mark;POS Indonesia;5
odr102;26/01/2018;13:06:47;Putnem Petracci;42851-052;T-Shirt;;20;;;;;Yogyakarta - Tokopedia;Wanokuni;;1
odr103;20/01/2018;07:16:54;Clive Ciabatteri;0310-0283;Mug;;23;;;;;Bali - Shopee;Mark;JNE;3
odr104;17/01/2018;08:08:56;Rebekkah Gluyus;50458-650;Sweater;;20;;20;;;Yogyakarta - Whatsapp;Rizal;Wahana;5
odr105;16/01/2018;17:23:00;Simonette Spire;50563-168;T-Shirt;;13;;35;;;Semarang - FB Marketplace;Elon;Wahana;4
odr106;30/01/2018;01:09:53;Westley Sail;0498-0015;Oversized T-Shirt;;25;;;;;Bogor - Shopee;Mark;;1
odr107;01/01/2018;14:13:58;Winne Prine;13537-490;T-Shirt;;19;;;;;Semarang - Tokopedia;Abraham;;2
odr108;21/01/2018;20:11:58;Emlynne Armatidge;50017-023;Sweater;;20;;27;;;Bali - Tiktok;Wanokuni;Wahana;2
odr109;10/01/2018;00:44:46;Ailee Ayliff;68645-150;;;22;;20;;;Yogyakarta - Lazada;Mark;JNT;3
odr110;13/01/2018;06:07:49;Adora Carty;61786-024;T-Shirt;;14;;;;;Bali - Shopee;Mark;Wahana;1
odr111;11/01/2018;09:46:15;Lester MacTrustie;76123-243;Parka Jackets;;21;;;;;Yogyakarta - FB Marketplace;Jeff;JNT;4
odr112;30/01/2018;12:23:30;Tess Heads;44004-801;Mug;;12;;23;;;Bali - Lazada;Jeff;Shopee Express;4
odr113;16/01/2018;15:54:43;Denny Tunnacliffe;60760-131;Oversized T-Shirt;;21;;;;;Bogor - Website;Elon;;1
odr114;07/01/2018;02:16:19;Kaylil Antonomolii;55648-670;Parka Jackets;;19;;6;;;Yogyakarta - Website;Elon;Tiki;2
odr115;04/01/2018;14:03:47;Lauren Antoniat;16729-089;T-Shirt;;1;;14;;;Depok - Instagram;Rizal;Tiki;2
odr116;13/01/2018;17:54:57;Elke Riquet;62721-0471;Oversized T-Shirt;;4;;22;;;Depok - FB Marketplace;Nami;;5
odr117;09/01/2018;22:34:39;Angelia Samber;0113-0202;Oversized T-Shirt;;3;;11;;;Bali - FB Marketplace;Elon;SiCepat;4
odr118;05/01/2018;15:16:58;Conrade Vashchenko;36987-3227;T-Shirt;;22;;;;;Bali - FB Marketplace;Abraham;Wahana;3
odr119;14/01/2018;04:51:46;Winne Prine;43419-310;Oversized T-Shirt;;18;;;;;Tangerang - Instagram;Wanokuni;POS Indonesia;1
odr120;11/01/2018;18:09:55;Farr Rideout;0268-6540;Mug;;4;;33;;;Bali - Whatsapp;Mark;JNE;5
odr121;12/01/2018;02:26:18;Ferd Tomaskov;68151-3063;Oversized T-Shirt;;22;;;;;Bali - Tokopedia;Nami;POS Indonesia;5
odr122;28/01/2018;11:28:34;Hyacinthia Kinahan;11410-613;T-Shirt;;5;;;;;Jakarta - Tokopedia;Elon;POS Indonesia;2
odr123;29/01/2018;02:46:41;Darryl Housby;62670-4590;Topi;;5;;;;;Bali - Whatsapp;Jeff;Tiki;2
odr124;08/01/2018;13:27:28;Rubina Chatters;68428-060;T-Shirt;;21;;;;;Bogor - Tokopedia;Rizal;POS Indonesia;4
odr125;15/01/2018;00:47:44;Justinn Walhedd;61919-457;Cargo Pants;;12;;;;;Jakarta - Instagram;Jeff;JNE;2
odr126;24/01/2018;01:54:18;Mufinella Codling;0187-1611;T-Shirt;;2;;9;;;Bali - Lazada;Abraham;Wahana;3
odr127;28/01/2018;14:42:01;Faber Wasiel;49738-294;Sweater;;16;;28;;;Semarang - Instagram;Abraham;Tiki;3
odr128;10/01/2018;20:01:33;Carolan Klimmek;52125-256;T-Shirt;;5;;20;;;Depok - Website;Nami;Tiki;5
odr129;16/01/2018;18:38:23;Carolan Klimmek;11695-1406;T-Shirt;;2;;;;;Depok - Whatsapp;Wanokuni;SiCepat;5
odr130;18/01/2018;05:35:17;Deana Hoppner;0115-1209;T-Shirt;;18;;24;;;Bogor - Instagram;Jeff;SiCepat;2
odr131;19/01/2018;00:31:12;Cesaro MacNulty;25021-201;Oversized T-Shirt;;6;;29;;;Bali - Website;Rizal;Tiki;2
odr132;11/01/2018;03:48:21;Tymon Guildford;24236-248;T-Shirt;;20;;;;;Depok - Shopee;Jeff;JNE;2
odr133;03/01/2018;07:06:20;Ben O'Lunney;30142-217;Oversized T-Shirt;;17;;;;;Bandung - Website;Nami;;5
odr134;13/01/2018;18:44:25;Friedrick Quick;11673-448;Oversized T-Shirt;;17;;31;;;Jakarta - FB Marketplace;Mark;Wahana;4
odr135;05/01/2018;22:01:25;Arlina Penright;16590-286;T-Shirt;;16;;6;;;Yogyakarta - Tiktok;Jeff;Tiki;3
odr136;30/01/2018;06:42:51;Rosene Alliker;65044-1415;Oversized T-Shirt;;8;;9;;;Yogyakarta - Shopee;Nami;Wahana;5
odr137;04/01/2018;05:06:14;Dilly Cleiment;0268-6178;;;6;;9;;;Yogyakarta - Website;Elon;JNE;5
odr138;22/01/2018;02:30:37;Hana Craney;36987-1700;T-Shirt;;14;;21;;;Yogyakarta - Whatsapp;Jeff;JNE;4
odr139;30/01/2018;21:16:46;Norby McGairl;48951-9005;Oversized T-Shirt;;6;;;;;;Wanokuni;JNE;1
odr140;20/01/2018;08:10:02;Prudy Ollington;55289-281;T-Shirt;;21;;;;;Bandung - Tokopedia;Wanokuni;JNT;1
odr141;13/01/2018;08:05:34;Isabeau Leney;54973-0628;Cargo Pants;;23;;;;;Jakarta - Instagram;Jeff;SiCepat;3
odr142;01/01/2018;22:07:24;Cliff Midner;31722-222;Oversized T-Shirt;;3;;;;;Bandung - Website;Jeff;Wahana;5
odr143;17/01/2018;17:46:21;Mac Hriinchenko;52125-794;Mug;;19;;;;;Depok - Lazada;Wanokuni;Tiki;2
odr144;28/01/2018;21:52:03;Cassy Cartmill;65162-521;T-Shirt;;15;;;;;Semarang - FB Marketplace;Nami;JNT;1
odr145;09/01/2018;13:54:09;Franny Sprowell;0944-2625;Oversized T-Shirt;;7;;;;;Bandung - Website;Mark;JNE;3
odr146;01/01/2018;21:09:54;Dario Eliez;53208-414;Cargo Pants;;19;;;;;Jakarta - Website;Mark;;2
odr147;19/01/2018;13:25:19;Skell Hackin;13811-614;Cargo Pants;;21;;33;;;Semarang - Instagram;Jeff;SiCepat;4
odr148;07/01/2018;02:10:38;Gratia Arthan;75847-1709;Oversized T-Shirt;;6;;26;;;Depok - Lazada;Elon;Tiki;4
odr149;06/01/2018;16:02:09;Timmy Lapidus;76340-6001;T-Shirt;;3;;;;;Bogor - Lazada;Jeff;POS Indonesia;1
odr150;01/01/2018;12:20:52;Arlie Braim;61543-7595;Oversized T-Shirt;;13;;34;;;Depok - Tokopedia;Nami;Shopee Express;5
odr151;17/01/2018;06:12:55;Kit Danniel;21130-766;Oversized T-Shirt;;11;;24;;;Jakarta - Tiktok;Wanokuni;SiCepat;3
odr152;18/01/2018;02:42:25;Marena Penvarden;17156-067;Oversized T-Shirt;;16;;;;;Yogyakarta - Instagram;Elon;POS Indonesia;4
odr153;29/01/2018;10:24:17;Cloe Meldrum;47335-673;T-Shirt;;24;;;;;Semarang - Tokopedia;Elon;Shopee Express;3
odr154;23/01/2018;06:04:23;Ally Coslett;0682-0475;Oversized T-Shirt;;3;;29;;;Bali - Tokopedia;Mark;POS Indonesia;1
odr155;19/01/2018;16:06:25;Roderigo Marusik;46987-322;Cargo Pants;;25;;18;;;Bali - Whatsapp;Elon;;2
odr156;10/01/2018;06:03:42;Engelbert Benmore;67253-102;Oversized T-Shirt;;14;;28;;;Bandung - FB Marketplace;Wanokuni;Shopee Express;1
odr157;18/01/2018;08:25:42;Diarmid Chaffey;50436-9974;T-Shirt;;12;;13;;;Tangerang - Lazada;Mark;Tiki;5
odr158;02/01/2018;05:12:57;Nixie Sivyour;36987-2130;T-Shirt;;13;;;;;Depok - Whatsapp;Nami;;2
odr159;22/01/2018;04:29:08;Breena Hearon;0113-0323;Oversized T-Shirt;;5;;;;;Jakarta - Tokopedia;Nami;JNT;3
odr160;25/01/2018;03:05:26;Wilmette Sapshed;66184-435;T-Shirt;;22;;;;;Tangerang - Instagram;Abraham;Wahana;4
odr161;28/01/2018;00:28:56;Natala Quadrio;13537-014;T-Shirt;;3;;;;;Bandung - Whatsapp;Rizal;JNE;1
odr162;27/01/2018;14:34:18;Ermengarde Favela;63058-001;T-Shirt;;15;;;;;;Elon;Shopee Express;1
odr163;17/01/2018;19:08:43;Melosa Brehat;54868-2143;Parka Jackets;;11;;32;;;Bali - Instagram;Rizal;POS Indonesia;4
odr164;01/01/2018;08:42:49;Marena Penvarden;36800-431;T-Shirt;;18;;;;;Tangerang - FB Marketplace;Wanokuni;Tiki;4
odr165;01/01/2018;07:08:25;Wallie Pitcaithly;68151-5230;Oversized T-Shirt;;22;;;;;Bandung - Website;Mark;Tiki;2
odr166;05/01/2018;00:54:03;Bear Brayfield;54569-0554;T-Shirt;;22;;;;;Tangerang - Shopee;Abraham;Wahana;5
odr167;19/01/2018;11:41:53;Jonis Breche;67225-0003;Oversized T-Shirt;;15;;;;;Tangerang - Tiktok;Rizal;SiCepat;3
odr168;26/01/2018;00:49:54;Coraline Bertwistle;63941-333;T-Shirt;;12;;;;;Bogor - FB Marketplace;Wanokuni;Wahana;3
odr169;30/01/2018;06:15:06;Adam Spreull;21695-125;T-Shirt;;4;;;;;Semarang - FB Marketplace;Mark;Shopee Express;3
odr170;12/01/2018;11:50:49;Rori Lelliott;57237-004;Sweater;;6;;31;;;Yogyakarta - Tokopedia;Mark;POS Indonesia;1
odr171;14/01/2018;06:51:49;Tilly Siuda;68788-9994;Cargo Pants;;10;;8;;;Bogor - Tiktok;Rizal;Tiki;5
odr172;13/01/2018;11:07:21;Jacynth Puckring;65044-1018;;;14;;;;;Semarang - Website;Wanokuni;POS Indonesia;3
odr173;21/01/2018;11:22:13;Lula Stranaghan;36987-2911;Oversized T-Shirt;;18;;21;;;Tangerang - Website;Rizal;;2
odr174;10/01/2018;20:38:44;Harli Lownie;59779-977;T-Shirt;;18;;;;;Tangerang - Whatsapp;Elon;;5
odr175;04/01/2018;17:42:14;Renaud Newsome;10956-014;T-Shirt;;17;;;;;Depok - Shopee;Mark;Shopee Express;5
odr176;21/01/2018;18:39:24;Silas Ghidini;0052-0603;Mug;;20;;;;;Yogyakarta - Lazada;Abraham;Shopee Express;1
odr177;07/01/2018;22:00:59;Ken Hadden;43419-516;T-Shirt;;7;;8;;;Semarang - Tokopedia;Jeff;JNT;2
odr178;18/01/2018;11:48:20;June Kidstoun;0338-1099;Parka Jackets;;25;;19;;;Bali - FB Marketplace;Rizal;SiCepat;5
odr179;06/01/2018;13:14:15;Dawn Mackro;0113-0517;T-Shirt;;4;;26;;;Bali - Lazada;Jeff;Wahana;4
odr180;24/01/2018;02:41:49;Laurens Ivanyushin;48951-8160;Parka Jackets;;25;;;;;Bandung - Tiktok;Mark;Shopee Express;4
odr181;11/01/2018;20:49:36;Zollie Dawbury;54868-3474;Oversized T-Shirt;;16;;31;;;Bali - Website;Abraham;Tiki;5
odr182;21/01/2018;00:08:18;Alva Finkle;16590-265;Cargo Pants;;9;;13;;;Depok - Tokopedia;Elon;JNE;1
odr183;20/01/2018;06:49:03;Bambie Aizikov;16590-890;Oversized T-Shirt;;11;;;;;Yogyakarta - Whatsapp;Elon;JNT;1
odr184;17/01/2018;20:10:50;Guenevere Goudman;55714-2258;Cargo Pants;;1;;32;;;Tangerang - FB Marketplace;Mark;SiCepat;1
odr185;08/01/2018;08:33:40;Sharai Slarke;44523-568;Parka Jackets;;25;;26;;;Bogor - Tiktok;Wanokuni;;5
odr186;19/01/2018;20:39:53;Birgitta Jerrard;68703-091;Cargo Pants;;10;;19;;;Tangerang - Tiktok;Rizal;SiCepat;2
odr187;21/01/2018;05:55:40;Sylas Cabral;11673-047;Parka Jackets;;21;;17;;;;Wanokuni;JNE;2
odr188;02/01/2018;04:02:51;Emiline Oddey;51672-1351;Cargo Pants;;12;;28;;;Tangerang - Instagram;Wanokuni;Shopee Express;1
odr189;04/01/2018;22:55:27;Shane Woolacott;0944-4351;Oversized T-Shirt;;19;;;;;Depok - FB Marketplace;Mark;POS Indonesia;5
odr190;08/01/2018;12:17:38;Dusty Warn;52544-495;Oversized T-Shirt;;12;;;;;Bogor - Instagram;Elon;JNT;1
odr191;04/01/2018;23:31:00;Tabitha Truin;66141-640;Oversized T-Shirt;;19;;;;;Bali - Shopee;Wanokuni;JNT;2
odr192;07/01/2018;20:32:03;Gabbey Wallsworth;39892-0801;Oversized T-Shirt;;7;;;;;Bandung - Lazada;Jeff;POS Indonesia;5
odr193;03/01/2018;22:38:51;Irvine Abramov;0268-1610;Cargo Pants;;22;;;;;Depok - Instagram;Nami;JNE;1
odr194;15/01/2018;12:17:28;Claudette Handes;0555-0324;Cargo Pants;;16;;;;;Depok - FB Marketplace;Rizal;Wahana;1
odr195;06/01/2018;04:05:41;Crysta Ward;63548-3733;T-Shirt;;7;;13;;;Bogor - Shopee;Elon;SiCepat;3
odr196;18/01/2018;01:18:49;Berte Tiler;49349-586;T-Shirt;;1;;10;;;Jakarta - Tokopedia;Jeff;Wahana;4
odr197;23/01/2018;02:51:37;Tessy Meikle;52125-830;T-Shirt;;15;;;;;Depok - FB Marketplace;Rizal;POS Indonesia;5
odr198;22/01/2018;20:20:24;Jemmie Dudleston;52083-679;Oversized T-Shirt;;7;;;;;Tangerang - Instagram;Wanokuni;JNT;4
