order_id;Tanggal_Order;Waktu_Pesan;Nama_Pemesan;No_Resi;Produk;Kategori;Jumlah_Pesanan;Harga;Diskon;Total_Harga;Profit;Kota_Pengiriman - Media_Pemesanan;Admin_Proses;Ekspedisi;Rating_Fix
odr13537;22/01/2020;12:53:10;Sofia Duplock;64380-773;Oversized T-Shirt;;3;;;;;Yogyakarta - Lazada;Abraham;JNT;1
odr13538;24/01/2020;14:59:24;Anatol Duckerin;50436-6500;Sweater;;6;;;;;Bogor - Website;Mark;POS Indonesia;
odr13539;04/01/2020;14:15:22;Ben O'Lunney;30142-070;Sweater;;3;;;;;Bogor - Whatsapp;Nami;Wahana;5
odr13540;19/01/2020;15:44:58;Astra Inkin;43063-534;Cargo Pants;;24;;31;;;Tangerang - Instagram;Abraham;Shopee Express;1
odr13541;15/01/2020;05:28:05;Kakalina Bassano;45802-171;Mug;;24;;;;;Semarang - Whatsapp;Nami;SiCepat;5
odr13542;07/01/2020;10:36:06;Hyacinthia Kinahan;35356-768;Oversized T-Shirt;;23;;;;;;Abraham;JNT;4
odr13543;06/01/2020;01:24:51;Norby McGairl;50730-1512;Sweater;;20;;34;;;Tangerang - Whatsapp;Elon;Shopee Express;3
odr13544;14/01/2020;16:20:42;Penn Linguard;43063-429;Mug;;17;;;;;Depok - Tiktok;Jeff;Shopee Express;4
odr13545;11/01/2020;11:32:55;Lisa Bakewell;53808-0622;Mug;;6;;8;;;Jakarta - Tiktok;Abraham;JNT;3
odr13546;02/01/2020;06:05:39;Bibi Niche;43857-0042;Parka Jackets;;15;;20;;;Bandung - Tiktok;Rizal;Shopee Express;4
odr13547;02/01/2020;05:15:13;Corissa Fenkel;61715-044;Oversized T-Shirt;;19;;;;;Bogor - Shopee;Nami;POS Indonesia;3
odr13548;20/01/2020;15:09:46;Sylas Cabral;50556-001;Oversized T-Shirt;;17;;;;;Semarang - Lazada;Elon;SiCepat;4
odr13549;04/01/2020;03:44:44;Minnnie Headey;63868-359;Sweater;;25;;17;;;Semarang - Website;Nami;;3
odr13550;17/01/2020;21:51:04;Reinhard Corbert;0054-0057;Oversized T-Shirt;;16;;23;;;Jakarta - FB Marketplace;Wanokuni;Wahana;5
odr13551;29/01/2020;02:04:43;Cordy Hibbart;51009-111;Parka Jackets;;19;;9;;;Semarang - Whatsapp;Jeff;SiCepat;3
odr13552;18/01/2020;04:57:06;Birgitta Jerrard;37000-414;;;4;;11;;;Bali - Whatsapp;Wanokuni;JNT;3
odr13553;26/01/2020;22:09:25;Drona Keates;43979-446;Parka Jackets;;15;;;;;Bandung - Lazada;Abraham;JNE;1
odr13554;23/01/2020;07:49:38;Cal Goretti;44206-451;Parka Jackets;;25;;;;;Tangerang - Lazada;Nami;Tiki;2
odr13555;29/01/2020;13:04:13;Bill Humphris;0085-1425;T-Shirt;;2;;;;;Tangerang - Tokopedia;Abraham;;3
odr13556;07/01/2020;22:04:15;Olga Maxsted;55111-682;Topi;;13;;7;;;Jakarta - Website;Elon;Tiki;3
odr13557;14/01/2020;22:31:46;Helenelizabeth Brewster;42002-206;Mug;;16;;;;;Semarang - Tokopedia;Jeff;Shopee Express;2
odr13558;20/01/2020;22:37:10;Birgitta Jerrard;54973-0609;Parka Jackets;;22;;;;;Depok - FB Marketplace;Abraham;Shopee Express;3
odr13559;02/01/2020;20:39:27;Marlin Ghion;0904-6269;Parka Jackets;;1;;5;;;Jakarta - Tiktok;Mark;Wahana;4
odr13560;01/01/2020;11:40:34;Xylia Lanbertoni;29336-322;Oversized T-Shirt;;8;;15;;;Yogyakarta - Website;Rizal;Tiki;4
odr13561;15/01/2020;21:36:28;Eddi Hegg;64117-107;Topi;;12;;;;;Depok - Instagram;Mark;JNE;4
odr13562;24/01/2020;17:04:06;Shanan McNeachtain;76237-284;T-Shirt;;7;;8;;;Bogor - Website;Mark;;5
odr13563;01/01/2020;21:42:46;Renaud Newsome;57955-5315;Oversized T-Shirt;;1;;34;;;;Wanokuni;Shopee Express;3
odr13564;22/01/2020;10:00:01;Wallie Lorrain;41250-425;T-Shirt;;25;;26;;;Bogor - Whatsapp;Jeff;Shopee Express;4
odr13565;07/01/2020;14:50:11;Eugenio Drieu;50383-267;T-Shirt;;25;;24;;;Yogyakarta - Instagram;Jeff;JNE;2
odr13566;27/01/2020;17:25:42;Keslie McCurrie;49614-473;Oversized T-Shirt;;6;;;;;Bogor - Tokopedia;Rizal;SiCepat;3
odr13567;20/01/2020;05:16:12;Nollie Isenor;55154-8509;T-Shirt;;16;;;;;Bali - Tiktok;Rizal;;1
odr13568;17/01/2020;10:57:09;Anatol Duckerin;47682-915;T-Shirt;;13;;12;;;Tangerang - Website;Mark;Tiki;1
odr13569;08/01/2020;13:52:27;Riki Bickerstasse;61957-2135;T-Shirt;;11;;28;;;Tangerang - FB Marketplace;Abraham;JNE;5
odr13570;07/01/2020;07:54:37;Harlen Falconer;67046-164;Sweater;;13;;;;;Bandung - Instagram;Rizal;JNE;1
odr13571;14/01/2020;08:08:00;Shelli Sterzaker;0536-2220;Mug;;11;;;;;Jakarta - Whatsapp;Abraham;Wahana;3
odr13572;08/01/2020;13:19:54;Joletta Pletts;54575-300;Parka Jackets;;12;;20;;;Jakarta - Website;Jeff;Shopee Express;3
odr13573;29/01/2020;06:31:59;Bibi Niche;11822-0556;Oversized T-Shirt;;2;;;;;Jakarta - Whatsapp;Abraham;JNT;4
odr13574;19/01/2020;14:33:32;Ravid Proger;0603-7861;T-Shirt;;16;;;;;Bandung - Tokopedia;Jeff;JNE;1
odr13575;22/01/2020;23:31:45;Amos Lanbertoni;0574-0115;Topi;;22;;;;;Bandung - Tiktok;Abraham;Wahana;4
odr13576;17/01/2020;01:22:23;Corissa Fenkel;61360-2002;Mug;;25;;;;;Yogyakarta - Lazada;Nami;SiCepat;5
odr13577;22/01/2020;07:13:29;Inger Gloy;0037-1221;Sweater;;12;;29;;;Bandung - Shopee;Nami;;3
odr13578;06/01/2020;22:05:16;Lorain Broom;58232-0424;T-Shirt;;1;;27;;;Yogyakarta - Tokopedia;Rizal;Shopee Express;2
odr13579;27/01/2020;22:52:24;Kandy Whorton;59779-196;T-Shirt;;19;;;;;Depok - Website;Mark;SiCepat;3
odr13580;16/01/2020;01:03:35;Naoma Woodyeare;50184-4700;T-Shirt;;7;;;;;Yogyakarta - FB Marketplace;Rizal;;1
odr13581;15/01/2020;07:42:27;Eugenie Jewis;0186-5040;Topi;;2;;;;;Bogor - Shopee;Nami;JNE;2
odr13582;05/01/2020;23:32:12;Corrie Bugler;0603-4978;Sweater;;14;;;;;Bogor - Tokopedia;Mark;JNT;2
odr13583;12/01/2020;17:45:53;Hilliard Paute;64455-065;T-Shirt;;13;;;;;Bali - FB Marketplace;Elon;Tiki;3
odr13584;27/01/2020;05:02:51;Mikol Mayell;10096-0258;Oversized T-Shirt;;5;;6;;;Bandung - Website;Jeff;POS Indonesia;4
odr13585;22/01/2020;09:22:50;Daron Orvis;54868-1949;T-Shirt;;12;;33;;;Semarang - Shopee;Wanokuni;Tiki;1
odr13586;10/01/2020;05:10:38;Ulrikaumeko Dunican;68828-192;Sweater;;3;;28;;;Bandung - Tokopedia;Nami;JNT;3
odr13587;02/01/2020;00:08:44;Kain Morrant;30142-118;Oversized T-Shirt;;18;;10;;;Depok - Shopee;Elon;Tiki;1
odr13588;24/01/2020;05:13:07;Eunice Rankmore;68151-2022;Oversized T-Shirt;;25;;;;;Bogor - Tiktok;Wanokuni;Tiki;3
odr13589;24/01/2020;00:51:08;Alysia Tomaszkiewicz;50402-100;Cargo Pants;;21;;;;;Bogor - Whatsapp;Mark;JNE;1
odr13590;11/01/2020;14:44:54;Stacy Piechnik;56062-619;Cargo Pants;;12;;;;;Yogyakarta - Instagram;Elon;Shopee Express;5
odr13591;13/01/2020;04:05:30;Gary Matthai;65923-498;T-Shirt;;14;;9;;;Bali - Lazada;Elon;Shopee Express;2
odr13592;13/01/2020;15:27:03;Nannette Drew;0173-0777;Parka Jackets;;16;;8;;;Jakarta - Lazada;Elon;SiCepat;1
odr13593;29/01/2020;14:48:37;Barbette Brogi;0904-6350;Oversized T-Shirt;;14;;16;;;Jakarta - Tokopedia;Abraham;Wahana;1
odr13594;01/01/2020;15:59:19;Ronny Lovemore;33261-344;Oversized T-Shirt;;24;;12;;;Bogor - Website;Mark;Tiki;5
odr13595;21/01/2020;05:57:23;Isabeau Leney;59779-585;Oversized T-Shirt;;9;;33;;;Yogyakarta - Tiktok;Abraham;JNE;
odr13596;08/01/2020;12:17:51;Mikkel Faulconer;33261-379;T-Shirt;;13;;;;;Bandung - Instagram;Mark;Wahana;4
odr13597;27/01/2020;11:50:26;Syd O'Duilleain;68436-115;Oversized T-Shirt;;10;;;;;Bandung - Shopee;Mark;POS Indonesia;2
odr13598;25/01/2020;09:20:40;Timmy Lapidus;55316-648;T-Shirt;;11;;29;;;Yogyakarta - Lazada;Rizal;Shopee Express;1
odr13599;16/01/2020;03:26:41;Jessalin Chawner;60505-3620;Oversized T-Shirt;;2;;;;;Tangerang - Tiktok;Elon;Shopee Express;
odr13600;07/01/2020;16:04:00;Vasili Daout;21695-233;Mug;;24;;;;;Semarang - Shopee;Abraham;JNT;1
odr13601;10/01/2020;12:32:44;Alfi Spellard;16714-422;T-Shirt;;23;;;;;;Rizal;POS Indonesia;3
odr13602;02/01/2020;22:03:10;Corrie Gong;51346-048;Mug;;9;;;;;Bogor - Tokopedia;Mark;Wahana;2
odr13603;19/01/2020;06:11:38;Riki Bickerstasse;55154-1814;Oversized T-Shirt;;23;;;;;Bandung - Whatsapp;Jeff;JNT;4
odr13604;06/01/2020;09:29:00;Rickard Deeny;0456-0458;Parka Jackets;;11;;;;;Depok - FB Marketplace;Abraham;JNE;2
odr13605;07/01/2020;00:52:46;Romonda Basnett;48951-1152;Cargo Pants;;10;;18;;;Jakarta - Website;Rizal;SiCepat;2
odr13606;29/01/2020;08:29:21;Anita Pretsel;11673-272;Topi;;22;;;;;Bogor - Instagram;Nami;;
odr13607;12/01/2020;01:00:14;Mandi Dmytryk;49288-0941;Oversized T-Shirt;;10;;;;;Tangerang - Instagram;Rizal;JNT;1
odr13608;05/01/2020;13:22:57;Jeana Adamovicz;51514-0312;Topi;;17;;33;;;Jakarta - Website;Mark;JNT;5
odr13609;23/01/2020;10:10:50;Cyrille Emlyn;0245-0067;Oversized T-Shirt;;7;;;;;Jakarta - Lazada;Rizal;Tiki;4
odr13610;28/01/2020;14:17:22;Bren Corkel;66689-810;Oversized T-Shirt;;10;;;;;Semarang - Website;Elon;JNE;5
odr13611;19/01/2020;13:38:34;Brose Thandi;55289-038;T-Shirt;;20;;;;;Bogor - FB Marketplace;Abraham;JNT;4
odr13612;28/01/2020;05:45:08;Diarmid Chaffey;68258-3030;Oversized T-Shirt;;16;;8;;;Bandung - Website;Nami;Wahana;3
odr13613;18/01/2020;12:36:08;Hesther Okker;63739-046;Mug;;19;;7;;;Tangerang - Instagram;Rizal;SiCepat;5
odr13614;10/01/2020;15:33:41;Keven Lindell;49799-0001;T-Shirt;;6;;9;;;Tangerang - Shopee;Mark;JNT;4
odr13615;08/01/2020;15:23:36;Laurens Ivanyushin;35356-212;T-Shirt;;9;;27;;;Bandung - FB Marketplace;Nami;;3
odr13616;11/01/2020;18:01:55;Kinny Winks;63736-915;Mug;;19;;20;;;Jakarta - Shopee;Jeff;Tiki;1
odr13617;22/01/2020;07:02:32;Paton Goney;55316-922;Parka Jackets;;20;;23;;;Semarang - Shopee;Nami;Wahana;4
odr13618;23/01/2020;04:57:57;Milzie Baseggio;63981-571;Parka Jackets;;10;;17;;;Yogyakarta - Website;Elon;JNT;4
odr13619;30/01/2020;15:53:42;Gerianne MacKean;52773-236;T-Shirt;;16;;;;;Depok - Instagram;Nami;JNT;1
odr13620;25/01/2020;20:24:23;Berke Beckitt;68084-128;Oversized T-Shirt;;24;;;;;Yogyakarta - Lazada;Wanokuni;JNT;4
odr13621;09/01/2020;21:26:24;Gustave Gladbach;55154-2660;Sweater;;22;;;;;Bandung - Tokopedia;Elon;Tiki;2
odr13622;16/01/2020;09:58:05;Mikey Kless;57520-0083;Sweater;;3;;33;;;Tangerang - Lazada;Elon;JNE;5
odr13623;19/01/2020;18:15:33;Crysta Ward;55714-4513;Topi;;19;;28;;;Jakarta - Tokopedia;Nami;JNT;4
odr13624;22/01/2020;01:16:22;Clara Francescuzzi;54868-4126;Oversized T-Shirt;;17;;;;;Semarang - Tokopedia;Jeff;JNE;1
odr13625;04/01/2020;12:10:08;Caye Farnall;35418-631;Cargo Pants;;20;;15;;;Yogyakarta - Shopee;Nami;;4
odr13626;26/01/2020;04:46:38;Debi Brownsmith;63629-5191;T-Shirt;;17;;18;;;Bandung - Whatsapp;Rizal;Wahana;2
odr13627;15/01/2020;20:16:23;Cloe Meldrum;75997-024;Mug;;10;;20;;;Semarang - Whatsapp;Jeff;SiCepat;3
odr13628;13/01/2020;08:11:57;Emlynne Armatidge;16590-125;Parka Jackets;;6;;;;;Depok - Tiktok;Mark;Wahana;5
odr13629;28/01/2020;15:37:45;Skelly Louiset;61715-080;T-Shirt;;3;;30;;;Bandung - FB Marketplace;Elon;SiCepat;
odr13630;08/01/2020;20:08:00;Robbyn Ornillos;62839-0807;Parka Jackets;;16;;14;;;Bali - Shopee;Jeff;Wahana;5
odr13631;11/01/2020;01:06:50;Cissiee Croxall;55118-979;T-Shirt;;20;;21;;;Semarang - Tiktok;Elon;Shopee Express;3
odr13632;29/01/2020;05:28:51;Darlene Kaye;49349-359;Topi;;3;;;;;;Wanokuni;Tiki;2
odr13633;19/01/2020;03:49:14;Candide Glave;0378-1418;Oversized T-Shirt;;5;;;;;Tangerang - Whatsapp;Nami;JNT;4
odr13634;22/01/2020;15:59:17;Pernell Seeds;0093-1063;Oversized T-Shirt;;22;;;;;Bali - FB Marketplace;Rizal;Tiki;2
odr13635;05/01/2020;10:39:09;Cathie Brimelow;44183-900;Parka Jackets;;9;;22;;;Tangerang - Shopee;Elon;Tiki;
odr13636;01/01/2020;16:53:54;Brewster Marousek;66129-111;Parka Jackets;;5;;20;;;Yogyakarta - Tokopedia;Mark;;3
odr13637;29/01/2020;20:20:20;Dick Clutheram;0268-6678;Oversized T-Shirt;;1;;;;;Tangerang - Whatsapp;Elon;Wahana;1
odr13638;13/01/2020;04:09:21;Lizette Hartness;54416-006;Sweater;;21;;;;;Bandung - Whatsapp;Elon;POS Indonesia;4
odr13639;24/01/2020;17:15:48;Davita Buney;36987-2181;Cargo Pants;;1;;;;;Tangerang - Whatsapp;Abraham;Wahana;2
odr13640;13/01/2020;02:29:04;Nerti Greason;37012-059;Parka Jackets;;1;;20;;;;Mark;SiCepat;5
odr13641;13/01/2020;13:59:28;Doralin Fricke;50436-3953;Mug;;13;;;;;Bandung - Instagram;Mark;POS Indonesia;
odr13642;12/01/2020;21:17:16;Kip Pelman;65841-712;Sweater;;12;;;;;Bali - FB Marketplace;Elon;Shopee Express;4
odr13643;01/01/2020;19:09:23;Leonelle Elsdon;48951-5048;Mug;;1;;31;;;Bandung - Instagram;Wanokuni;Wahana;2
odr13644;29/01/2020;12:46:25;Randolf Clague;60429-373;Parka Jackets;;16;;17;;;Bandung - Instagram;Jeff;JNE;4
odr13645;28/01/2020;14:57:31;Cinderella Garralts;0591-3212;Topi;;20;;;;;Tangerang - Instagram;Elon;POS Indonesia;4
odr13646;23/01/2020;06:53:33;Dyanna Emmanuel;55150-157;Parka Jackets;;14;;;;;Tangerang - Lazada;Mark;JNT;4
odr13647;11/01/2020;20:39:35;Illa Tremble;53746-116;T-Shirt;;1;;;;;Tangerang - Shopee;Rizal;SiCepat;2
odr13648;24/01/2020;16:29:36;Susana Brammar;33992-3006;Parka Jackets;;6;;;;;Bali - Shopee;Elon;JNT;5
odr13649;05/01/2020;14:27:10;Giraldo Fullylove;55910-957;Topi;;14;;;;;Depok - Shopee;Wanokuni;Tiki;5
odr13650;04/01/2020;05:40:25;Merline Secker;0046-1104;Sweater;;7;;;;;Bali - Shopee;Elon;SiCepat;5
odr13651;19/01/2020;19:42:26;Guenevere Goudman;54575-342;Oversized T-Shirt;;19;;16;;;Bandung - Lazada;Jeff;Wahana;5
odr13652;02/01/2020;17:07:04;Melessa Grancher;51079-906;Mug;;12;;;;;Bogor - Website;Nami;JNT;5
odr13653;07/01/2020;02:47:04;Sharai Slarke;60709-101;Topi;;2;;15;;;Bogor - Website;Jeff;Wahana;5
odr13654;11/01/2020;09:50:04;Vincents de Merida;53270-0052;Cargo Pants;;22;;;;;Bogor - Whatsapp;Mark;Shopee Express;1
odr13655;18/01/2020;10:46:51;Nerita McLay;0143-9700;Sweater;;6;;;;;Bandung - Whatsapp;Mark;SiCepat;
odr13656;16/01/2020;00:13:02;Blisse Perrottet;65862-626;Oversized T-Shirt;;9;;;;;Bandung - Lazada;Wanokuni;POS Indonesia;5
odr13657;22/01/2020;08:31:18;Jordana Ram;68788-9022;Mug;;5;;;;;Depok - Website;Nami;POS Indonesia;4
odr13658;24/01/2020;23:32:06;Rubina Chatters;37000-392;Mug;;18;;33;;;Depok - Tokopedia;Abraham;POS Indonesia;5
odr13659;18/01/2020;13:07:24;Madlin Conneau;0268-1013;Mug;;18;;29;;;Bali - Lazada;Nami;POS Indonesia;2
odr13660;04/01/2020;09:38:46;Rafe Penhall;66116-370;Sweater;;22;;;;;Yogyakarta - Instagram;Abraham;Tiki;2
odr13661;30/01/2020;06:22:04;Gratia Arthan;68084-820;Parka Jackets;;2;;12;;;Tangerang - Instagram;Nami;SiCepat;4
odr13662;28/01/2020;18:03:04;Anita Pretsel;43063-499;Sweater;;5;;13;;;Bogor - Tokopedia;Wanokuni;JNE;1
odr13663;20/01/2020;20:33:45;Galen Janic;66184-115;Topi;;10;;;;;Bandung - Website;Jeff;POS Indonesia;5
odr13664;19/01/2020;10:17:32;Calv Stinchcombe;55910-720;Cargo Pants;;21;;;;;;Abraham;POS Indonesia;3
odr13665;28/01/2020;09:53:58;Stanfield Hulks;64205-211;Sweater;;9;;;;;Bogor - Whatsapp;Abraham;POS Indonesia;
odr13666;04/01/2020;10:46:14;Marigold Laxon;10370-257;Mug;;3;;15;;;Bogor - Lazada;Elon;Tiki;1
odr13667;08/01/2020;21:55:42;Marigold Laxon;13537-260;Oversized T-Shirt;;10;;27;;;Yogyakarta - Whatsapp;Jeff;JNE;3
odr13668;30/01/2020;22:21:17;Andrea Avraham;59762-0050;T-Shirt;;16;;18;;;Bali - Whatsapp;Rizal;SiCepat;5
odr13669;04/01/2020;06:36:38;Galen Janic;55289-405;T-Shirt;;7;;;;;Bali - Shopee;Nami;Shopee Express;1
odr13670;26/01/2020;20:00:41;Pooh Paradise;68084-560;;;20;;;;;Bali - Website;Jeff;Tiki;4
odr13671;21/01/2020;14:45:16;Rudyard Goodier;49288-0401;T-Shirt;;17;;21;;;Bali - Tiktok;Jeff;SiCepat;5
odr13672;11/01/2020;12:49:06;Ronny Lovemore;0023-9321;Sweater;;17;;;;;Yogyakarta - Whatsapp;Abraham;;2
odr13673;19/01/2020;20:50:43;Weston Tedorenko;67544-725;T-Shirt;;16;;12;;;Jakarta - Tokopedia;Wanokuni;Tiki;2
odr13674;15/01/2020;21:39:10;Anselma Volage;68084-552;Oversized T-Shirt;;22;;;;;Bogor - Shopee;Elon;JNT;1
odr13675;19/01/2020;21:10:19;Riki Bickerstasse;60512-6010;T-Shirt;;10;;22;;;Bandung - Website;Mark;JNT;4
odr13676;01/01/2020;00:41:23;Flem MacDuffie;59779-235;Oversized T-Shirt;;7;;;;;Bandung - FB Marketplace;Nami;Wahana;2
odr13677;23/01/2020;22:02:39;Anatol Duckerin;0143-9786;Oversized T-Shirt;;5;;10;;;Tangerang - FB Marketplace;Jeff;Wahana;2
odr13678;25/01/2020;03:22:49;Benoite Tolliday;55154-5698;T-Shirt;;23;;;;;Yogyakarta - Tokopedia;Mark;POS Indonesia;4
odr13679;14/01/2020;19:49:48;Drona Keates;68421-7120;Parka Jackets;;18;;23;;;Semarang - Lazada;Elon;Shopee Express;2
odr13680;14/01/2020;08:36:02;Penny Bercevelo;57896-424;Mug;;21;;12;;;;Nami;Wahana;
odr13681;04/01/2020;08:56:23;Wally Trussler;28109-020;Oversized T-Shirt;;9;;20;;;Yogyakarta - Shopee;Abraham;;5
odr13682;14/01/2020;15:17:22;Doro Cowdry;62902-0001;Parka Jackets;;10;;24;;;Yogyakarta - Website;Abraham;Tiki;1
odr13683;25/01/2020;04:04:55;Burk Darco;41163-179;Sweater;;19;;;;;Depok - Shopee;Jeff;Tiki;5
odr13684;09/01/2020;12:03:10;Wallie Lorrain;52685-365;T-Shirt;;10;;;;;Bali - Website;Wanokuni;SiCepat;
odr13685;08/01/2020;12:43:55;Lurleen Smurfitt;52125-378;Oversized T-Shirt;;16;;23;;;Tangerang - Lazada;Nami;Shopee Express;2
odr13686;09/01/2020;04:20:09;Arlina Penright;55154-2722;Parka Jackets;;24;;11;;;Bali - Shopee;Wanokuni;Shopee Express;1
odr13687;12/01/2020;15:13:04;Katrina Sisnett;59883-824;Parka Jackets;;16;;;;;Bogor - Tokopedia;Nami;JNT;5
odr13688;06/01/2020;14:45:57;Berna Shoebridge;49349-878;Oversized T-Shirt;;17;;15;;;Bali - Shopee;Nami;POS Indonesia;2
odr13689;25/01/2020;15:28:15;Arny Milbourn;67046-276;Oversized T-Shirt;;13;;;;;;Abraham;JNT;3
odr13690;21/01/2020;06:41:02;Tymon Guildford;55316-008;Parka Jackets;;14;;35;;;Jakarta - Tiktok;Elon;Wahana;5
odr13691;08/01/2020;13:09:27;Marguerite Adolthine;0054-4184;Parka Jackets;;17;;7;;;Bandung - Website;Mark;Wahana;2
odr13692;05/01/2020;20:31:59;Derril Rodell;63629-3906;Oversized T-Shirt;;18;;19;;;Depok - Shopee;Jeff;JNE;1
