order_id;Tanggal_Order;Waktu_Pesan;Nama_Pemesan;No_Resi;Produk;Kategori;Jumlah_Pesanan;Harga;Diskon;Total_Harga;Profit;Kota_Pengiriman - Media_Pemesanan;Admin_Proses;Ekspedisi;Rating
odr7591;30/01/2019;19:07:23;Rollie Lippatt;64679-557;Mug;;8;;;;;Bali - Website;Abraham;POS Indonesia;3
odr7592;02/01/2019;23:49:10;Tracey Haskew;21695-229;Parka Jackets;;2;;;;;Bali - Shopee;Nami;;3
odr7593;23/01/2019;17:46:17;Coop Miroy;76237-154;Cargo Pants;;11;;;;;Depok - Instagram;Elon;;1
odr7594;30/01/2019;04:23:23;Ruprecht Osment;55648-662;Topi;;1;;;;;Bali - Instagram;Abraham;JNT;4
odr7595;29/01/2019;04:40:14;Cassy Cartmill;13925-169;Sweater;;1;;6;;;Semarang - Tiktok;Jeff;POS Indonesia;3
odr7596;08/01/2019;20:06:25;Fletch Gatlin;50436-0128;Topi;;4;;;;;Tangerang - Instagram;Rizal;JNT;2
odr7597;14/01/2019;11:06:48;Mahalia Sapir;57520-0392;Oversized T-Shirt;;20;;;;;Jakarta - Whatsapp;Nami;;5
odr7598;13/01/2019;07:32:58;Lea Uzelli;10893-150;Oversized T-Shirt;;1;;21;;;Bandung - FB Marketplace;Wanokuni;Tiki;4
odr7599;12/01/2019;04:48:33;Sofia Dedden;49349-954;T-Shirt;;23;;;;;Semarang - Whatsapp;Elon;POS Indonesia;1
odr7600;05/01/2019;23:45:09;Kelvin Inglesant;49349-482;Oversized T-Shirt;;14;;34;;;Bali - Tokopedia;Jeff;SiCepat;3
odr7601;19/01/2019;20:26:49;Dorothea Linney;64117-978;T-Shirt;;17;;9;;;Jakarta - Whatsapp;Nami;Wahana;5
odr7602;26/01/2019;09:27:34;Dare Huguenet;52125-774;Sweater;;7;;;;;Bogor - Website;Mark;SiCepat;3
odr7603;02/01/2019;05:43:35;Ailey Wallbutton;61995-2329;T-Shirt;;24;;;;;Yogyakarta - Shopee;Abraham;;1
odr7604;16/01/2019;20:06:35;Modestia Estable;49349-243;Oversized T-Shirt;;22;;18;;;Depok - Website;Mark;JNE;
odr7605;01/01/2019;03:45:29;Orren Stiffkins;54868-4812;Sweater;;25;;18;;;Bogor - Tiktok;Elon;JNE;4
odr7606;15/01/2019;12:39:02;Bailie Garatty;62802-140;Oversized T-Shirt;;20;;;;;Semarang - Whatsapp;Mark;JNT;1
odr7607;11/01/2019;14:30:50;Tymon Heber;55154-8388;Oversized T-Shirt;;5;;28;;;Bandung - Tokopedia;Nami;SiCepat;1
odr7608;25/01/2019;03:12:25;Trefor Pady;29300-130;Sweater;;7;;;;;Semarang - FB Marketplace;Wanokuni;Tiki;5
odr7609;19/01/2019;03:45:27;Ben O'Lunney;11559-729;Cargo Pants;;7;;;;;;Rizal;Wahana;4
odr7610;24/01/2019;19:36:42;Brandon Widdecombe;41163-224;Cargo Pants;;25;;15;;;Bandung - Whatsapp;Elon;;4
odr7611;09/01/2019;00:04:45;Daveen Gillie;43742-0220;Cargo Pants;;4;;;;;Bandung - Shopee;Mark;SiCepat;5
odr7612;04/01/2019;19:29:32;Chandler Wetherburn;42507-612;Oversized T-Shirt;;22;;;;;Bali - Lazada;Abraham;Tiki;4
odr7613;17/01/2019;08:33:51;Birch Froment;63323-647;Cargo Pants;;11;;;;;Semarang - Tokopedia;Wanokuni;Shopee Express;
odr7614;04/01/2019;10:27:06;Rafaelia Duignan;76074-151;Cargo Pants;;10;;16;;;Bandung - Instagram;Rizal;JNT;2
odr7615;10/01/2019;20:34:34;Mikey Kless;0115-1811;Mug;;19;;;;;Bogor - Tiktok;Mark;Wahana;3
odr7616;12/01/2019;09:18:01;Cly Arnall;33992-0428;Mug;;10;;;;;Bali - Shopee;Abraham;POS Indonesia;3
odr7617;11/01/2019;06:01:41;Hyacinthia Kinahan;11822-4101;Oversized T-Shirt;;21;;;;;Bandung - Shopee;Elon;Shopee Express;
odr7618;12/01/2019;07:23:15;Rori Lelliott;60429-287;Oversized T-Shirt;;19;;;;;;Abraham;;5
odr7619;13/01/2019;02:03:37;Jarrid Barry;52959-689;T-Shirt;;22;;;;;Tangerang - Lazada;Jeff;Wahana;5
odr7620;01/01/2019;19:15:16;Swen Bradneck;52125-156;Cargo Pants;;16;;;;;Jakarta - Shopee;Wanokuni;JNT;
odr7621;24/01/2019;18:02:47;Murial Whistan;64679-433;T-Shirt;;22;;16;;;Depok - Instagram;Mark;Tiki;4
odr7622;09/01/2019;00:52:24;Johanna Nann;70253-018;Mug;;13;;;;;Yogyakarta - Tokopedia;Jeff;JNE;5
odr7623;29/01/2019;15:58:54;Constantia Hattigan;54569-1874;Mug;;15;;7;;;;Wanokuni;Tiki;4
odr7624;15/01/2019;17:48:54;Pamella Adshed;0067-6341;Oversized T-Shirt;;25;;;;;Jakarta - Website;Wanokuni;POS Indonesia;5
odr7625;21/01/2019;17:47:05;Dion Sandever;63323-196;Oversized T-Shirt;;21;;;;;Tangerang - Shopee;Nami;POS Indonesia;1
odr7626;07/01/2019;01:33:20;Amalia Massy;66078-110;Topi;;12;;;;;Depok - Lazada;Elon;JNE;3
odr7627;17/01/2019;10:58:33;Annabela Ockendon;16590-195;T-Shirt;;3;;;;;Bogor - Instagram;Rizal;Tiki;2
odr7628;11/01/2019;00:01:47;Giraldo Fullylove;55154-5380;Mug;;3;;9;;;Bandung - Tokopedia;Rizal;Wahana;3
odr7629;13/01/2019;13:56:50;Philippine Clapston;41250-236;Oversized T-Shirt;;24;;;;;Tangerang - Lazada;Elon;JNT;2
odr7630;09/01/2019;14:25:24;Kerby Bolton;53499-0390;T-Shirt;;9;;;;;Semarang - FB Marketplace;Nami;Wahana;5
odr7631;12/01/2019;21:24:23;Obed Ivanin;43269-684;Topi;;14;;16;;;Bogor - Tokopedia;Abraham;JNE;1
odr7632;22/01/2019;19:34:59;Michal Long;65293-001;Mug;;9;;;;;Semarang - Instagram;Elon;POS Indonesia;5
odr7633;30/01/2019;09:18:25;Cristian McAirt;49884-407;Mug;;2;;;;;Bali - Tokopedia;Rizal;Wahana;4
odr7634;27/01/2019;10:49:02;Wilmar Geere;16590-059;;;17;;27;;;Semarang - Website;Elon;Wahana;
odr7635;03/01/2019;11:01:04;Wallie Moreland;63148-270;Mug;;10;;;;;Bogor - Whatsapp;Mark;JNE;4
odr7636;28/01/2019;14:37:07;Marcus Proudlove;79596-098;Oversized T-Shirt;;19;;7;;;Semarang - Lazada;Nami;JNT;2
odr7637;24/01/2019;01:09:39;Annemarie Carnew;0591-2738;T-Shirt;;4;;22;;;Jakarta - Shopee;Elon;Wahana;4
odr7638;24/01/2019;07:32:12;Forrester Daubney;0069-0045;;;17;;;;;Bogor - FB Marketplace;Wanokuni;JNE;1
odr7639;28/01/2019;04:45:21;Cloe Meldrum;63868-196;T-Shirt;;24;;23;;;;Rizal;JNT;1
odr7640;16/01/2019;17:14:27;Matti Kneale;49999-486;Parka Jackets;;22;;;;;Yogyakarta - Whatsapp;Jeff;JNT;4
odr7641;19/01/2019;20:48:46;Hugues Marcombe;37000-037;Topi;;1;;;;;Bogor - Tokopedia;Rizal;JNT;4
odr7642;20/01/2019;05:40:35;Carroll Conklin;55301-094;Sweater;;12;;26;;;;Jeff;Wahana;4
odr7643;16/01/2019;05:48:43;Adlai Izak;49349-069;;;15;;;;;Bandung - Website;Nami;Shopee Express;3
odr7644;04/01/2019;09:48:48;Kinny Winks;36987-2582;T-Shirt;;11;;;;;Bogor - Website;Rizal;;
odr7645;21/01/2019;05:37:00;Brit Denys;24488-001;Sweater;;19;;;;;Tangerang - Shopee;Wanokuni;;2
odr7646;08/01/2019;13:29:50;Lauren Antoniat;66336-600;T-Shirt;;16;;28;;;Bali - Tiktok;Elon;SiCepat;5
odr7647;23/01/2019;14:18:57;Burnard Gamblin;63629-5271;Oversized T-Shirt;;18;;;;;Jakarta - Website;Rizal;SiCepat;5
odr7648;07/01/2019;13:09:54;Caitlin Breit;75857-2155;Cargo Pants;;11;;30;;;Yogyakarta - FB Marketplace;Nami;;3
odr7649;27/01/2019;17:27:33;Justinn Loader;0603-2339;Mug;;15;;;;;Yogyakarta - Tiktok;Jeff;JNE;5
odr7650;01/01/2019;00:55:40;Anselma Volage;0485-0204;Sweater;;17;;14;;;Semarang - FB Marketplace;Mark;POS Indonesia;1
odr7651;03/01/2019;04:28:59;Janean Jiru;50563-301;T-Shirt;;11;;;;;Semarang - Website;Jeff;Shopee Express;5
odr7652;26/01/2019;02:52:35;Ernie Armytage;0781-3400;T-Shirt;;22;;33;;;Bali - Website;Abraham;SiCepat;2
odr7653;07/01/2019;10:10:26;Katrina Sisnett;10096-9182;Oversized T-Shirt;;5;;14;;;Yogyakarta - Instagram;Mark;Tiki;5
odr7654;04/01/2019;13:57:46;Tessa Scriviner;54868-4250;Oversized T-Shirt;;1;;;;;Bandung - Tokopedia;Abraham;Shopee Express;2
odr7655;19/01/2019;06:47:51;Cob Sinnocke;68258-6969;Sweater;;5;;;;;Bali - Lazada;Elon;JNE;5
odr7656;04/01/2019;18:10:46;Tildy By;21749-146;T-Shirt;;8;;;;;Depok - Website;Nami;Tiki;4
odr7657;12/01/2019;14:27:59;Morgan Clery;63621-356;Oversized T-Shirt;;16;;;;;Bali - Tokopedia;Nami;POS Indonesia;3
odr7658;27/01/2019;04:36:08;Georg Ladbrooke;57520-0964;Parka Jackets;;10;;10;;;Yogyakarta - Tiktok;Wanokuni;;
odr7659;30/01/2019;17:18:10;Elysee Colmore;60505-0211;Oversized T-Shirt;;8;;;;;Tangerang - Tiktok;Wanokuni;Shopee Express;1
odr7660;20/01/2019;19:08:35;Gabbey Wallsworth;68258-6034;Cargo Pants;;16;;32;;;Yogyakarta - Shopee;Nami;SiCepat;2
odr7661;02/01/2019;12:54:36;Christiana Cheyney;51991-320;Cargo Pants;;25;;35;;;Bogor - Website;Nami;Wahana;1
odr7662;21/01/2019;06:03:12;Ogden Litchfield;54365-400;T-Shirt;;13;;;;;Bali - FB Marketplace;Nami;Tiki;1
odr7663;03/01/2019;22:09:17;Buddy Cronchey;50169-0005;Oversized T-Shirt;;11;;12;;;Tangerang - Instagram;Mark;Shopee Express;5
odr7664;30/01/2019;16:46:57;Benedict Vigrass;63629-4028;Mug;;3;;14;;;Depok - Website;Rizal;SiCepat;3
odr7665;17/01/2019;06:15:24;Berke Beckitt;43063-342;Oversized T-Shirt;;6;;;;;Bandung - FB Marketplace;Jeff;JNE;5
odr7666;27/01/2019;19:48:01;Thayne Haith;64942-1344;Topi;;6;;;;;Semarang - Whatsapp;Abraham;SiCepat;1
odr7667;13/01/2019;08:45:40;Ives Amor;0548-5603;Mug;;15;;;;;;Rizal;JNE;2
odr7668;03/01/2019;12:16:56;Ram Farress;50051-0011;Oversized T-Shirt;;20;;;;;Bali - Tokopedia;Jeff;JNT;4
odr7669;07/01/2019;00:48:23;Gerry Booy;43742-0382;Oversized T-Shirt;;17;;;;;Depok - Whatsapp;Mark;POS Indonesia;5
odr7670;20/01/2019;19:51:00;Riki Bickerstasse;43063-145;Sweater;;2;;;;;;Wanokuni;JNT;1
odr7671;24/01/2019;18:00:07;Uriel Cisec;54305-108;Topi;;20;;;;;Yogyakarta - FB Marketplace;Nami;JNT;2
odr7672;10/01/2019;05:39:49;Kit Danniel;68788-9016;Parka Jackets;;13;;;;;Jakarta - Shopee;Wanokuni;;3
odr7673;10/01/2019;07:21:42;Minnnie Bysshe;0591-3500;Cargo Pants;;12;;31;;;Tangerang - FB Marketplace;Rizal;Tiki;2
odr7674;01/01/2019;23:42:36;Wilmar Geere;68016-939;T-Shirt;;5;;32;;;;Jeff;POS Indonesia;4
odr7675;29/01/2019;05:23:46;Lurette Klais;16781-375;Cargo Pants;;8;;7;;;Semarang - Instagram;Mark;JNT;
odr7676;12/01/2019;05:34:26;Wilmar Lindman;42254-050;T-Shirt;;4;;;;;Jakarta - Instagram;Elon;;4
odr7677;22/01/2019;18:09:58;Odie Elliott;75981-210;Mug;;11;;;;;Depok - FB Marketplace;Mark;JNE;2
odr7678;10/01/2019;11:27:00;Nannette Drew;75857-2301;Oversized T-Shirt;;14;;;;;Bali - Tiktok;Nami;POS Indonesia;4
odr7679;11/01/2019;16:26:20;Michal Long;75909-110;Cargo Pants;;19;;;;;Tangerang - Instagram;Abraham;Shopee Express;
odr7680;18/01/2019;22:39:29;Guillema MacAllaster;59762-2310;Mug;;1;;14;;;Bogor - Shopee;Mark;Shopee Express;3
odr7681;02/01/2019;10:08:35;Frazer Lenham;15338-170;Parka Jackets;;2;;28;;;Bali - Lazada;Rizal;Shopee Express;3
odr7682;01/01/2019;16:33:31;Bambie Aizikov;58836-0972;T-Shirt;;24;;35;;;Jakarta - Shopee;Jeff;SiCepat;1
odr7683;15/01/2019;13:33:30;Travus Rodbourne;0338-9540;Topi;;18;;;;;Semarang - Instagram;Nami;Shopee Express;2
odr7684;02/01/2019;15:41:24;Eward Leschelle;33261-160;T-Shirt;;21;;;;;Bandung - Lazada;Nami;JNT;4
odr7685;29/01/2019;09:51:09;Edna Wastall;13107-156;Oversized T-Shirt;;5;;;;;Jakarta - Whatsapp;Wanokuni;Shopee Express;3
odr7686;27/01/2019;18:00:27;Caitlin Breit;57520-0726;T-Shirt;;11;;;;;Tangerang - Lazada;Nami;JNT;
odr7687;07/01/2019;09:01:31;Arin Elbourn;0338-1083;Mug;;17;;;;;Yogyakarta - Lazada;Wanokuni;POS Indonesia;4
odr7688;22/01/2019;06:59:20;Gennie Newson;0006-0221;T-Shirt;;18;;16;;;Yogyakarta - Shopee;Mark;Wahana;1
odr7689;25/01/2019;21:15:13;Etan Rand;11673-903;Sweater;;21;;;;;Depok - Website;Nami;;2
odr7690;22/01/2019;00:11:53;Alain Eickhoff;49035-291;Mug;;6;;17;;;Semarang - Instagram;Mark;JNE;4
odr7691;21/01/2019;04:06:03;Kellina Bilton;0179-0040;Topi;;2;;;;;;Mark;Tiki;5
odr7692;29/01/2019;06:03:35;Audy Pharo;43857-0008;Mug;;22;;20;;;Tangerang - Instagram;Wanokuni;POS Indonesia;1
odr7693;16/01/2019;10:43:42;Nealson Heeps;68645-450;Oversized T-Shirt;;1;;;;;Yogyakarta - Shopee;Rizal;Shopee Express;5
odr7694;28/01/2019;11:08:42;Ester Di Ruggiero;64616-084;Oversized T-Shirt;;19;;;;;Depok - Instagram;Mark;POS Indonesia;4
odr7695;05/01/2019;03:46:34;Pernell Seeds;49349-867;T-Shirt;;22;;;;;Bogor - FB Marketplace;Mark;Tiki;4
odr7696;30/01/2019;12:22:14;Curt Palfreman;0268-0902;Cargo Pants;;8;;;;;Tangerang - FB Marketplace;Abraham;Wahana;1
odr7697;12/01/2019;08:20:09;Shanan McNeachtain;59667-0093;Sweater;;6;;31;;;Yogyakarta - Instagram;Rizal;JNT;1
odr7698;28/01/2019;19:37:10;Jeramey Crummay;68428-723;Mug;;21;;6;;;Semarang - Website;Wanokuni;Tiki;4
odr7699;17/01/2019;13:45:38;Meier Schechter;55910-517;Oversized T-Shirt;;24;;;;;Bali - Whatsapp;Jeff;JNT;4
odr7700;16/01/2019;10:06:18;Tish Tourmell;62742-4038;Sweater;;21;;;;;Semarang - Lazada;Rizal;Wahana;1
odr7701;17/01/2019;21:49:27;Bern Hollows;52343-040;Topi;;10;;;;;Bali - Lazada;Wanokuni;SiCepat;2
odr7702;26/01/2019;07:16:56;Gaynor Chesley;0159-2400;T-Shirt;;24;;33;;;Bogor - FB Marketplace;Jeff;POS Indonesia;5
odr7703;15/01/2019;17:08:47;Mandi Dmytryk;41520-803;T-Shirt;;1;;35;;;Jakarta - Shopee;Elon;SiCepat;3
odr7704;28/01/2019;11:39:06;Cassy Cartmill;65044-5009;Sweater;;5;;21;;;Bandung - FB Marketplace;Wanokuni;SiCepat;2
odr7705;02/01/2019;21:01:50;Adriane Skittrell;0006-4096;Mug;;13;;;;;Tangerang - FB Marketplace;Mark;JNT;2
odr7706;22/01/2019;20:55:13;Robbyn Ornillos;49349-598;;;18;;31;;;Yogyakarta - Shopee;Elon;SiCepat;4
odr7707;06/01/2019;10:28:41;Kelvin Inglesant;59676-562;Sweater;;15;;;;;Depok - Website;Elon;Shopee Express;3
odr7708;06/01/2019;01:32:28;Rance Sibson;59779-720;Oversized T-Shirt;;8;;12;;;Tangerang - Tiktok;Elon;POS Indonesia;2
odr7709;18/01/2019;15:06:34;Amalia Massy;53746-102;Sweater;;23;;;;;Depok - FB Marketplace;Nami;JNT;5
odr7710;13/01/2019;03:45:12;Isac Gerriessen;52544-162;Oversized T-Shirt;;19;;;;;Tangerang - Whatsapp;Abraham;Wahana;5
odr7711;03/01/2019;01:11:50;Lynnell Challis;39822-0205;Sweater;;20;;;;;Yogyakarta - Tokopedia;Rizal;SiCepat;2
odr7712;08/01/2019;20:49:50;Torey Dwane;68180-215;Parka Jackets;;3;;8;;;Bali - FB Marketplace;Rizal;Tiki;3
odr7713;21/01/2019;22:00:17;Editha Woodland;67544-982;Cargo Pants;;13;;29;;;Depok - Tokopedia;Elon;JNE;2
odr7714;08/01/2019;14:54:55;Wilmar Geere;43948-3001;Oversized T-Shirt;;12;;;;;Jakarta - Instagram;Nami;Wahana;5
odr7715;18/01/2019;12:15:26;Mandi Dmytryk;49288-0883;Oversized T-Shirt;;1;;;;;Semarang - Whatsapp;Elon;JNE;5
odr7716;13/01/2019;10:32:15;Nerita McLay;47593-311;T-Shirt;;17;;30;;;Tangerang - Website;Nami;JNE;5
odr7717;17/01/2019;14:35:57;Darlene Kaye;64762-862;Sweater;;21;;;;;Bogor - Website;Elon;Wahana;5
odr7718;05/01/2019;17:56:28;Bay Beathem;10742-8782;T-Shirt;;18;;14;;;Yogyakarta - FB Marketplace;Jeff;SiCepat;2
odr7719;19/01/2019;17:01:51;Dollie Bernt;52125-630;Mug;;2;;;;;;Wanokuni;POS Indonesia;5
odr7720;11/01/2019;09:54:33;Selene Pennacci;37205-204;Oversized T-Shirt;;16;;22;;;Yogyakarta - Tokopedia;Nami;SiCepat;3
odr7721;05/01/2019;18:01:56;Nanci Greir;16590-279;Sweater;;15;;10;;;Bali - Whatsapp;Elon;SiCepat;2
odr7722;13/01/2019;20:57:49;Wilow Yourell;0002-4117;;;4;;;;;Yogyakarta - Shopee;Wanokuni;JNE;5
odr7723;16/01/2019;02:44:18;Gustave Gladbach;55714-4483;T-Shirt;;3;;;;;Bandung - Tokopedia;Mark;;3
odr7724;06/01/2019;03:15:34;Nealson Heeps;37205-155;Oversized T-Shirt;;6;;;;;Bogor - Tokopedia;Wanokuni;JNT;2
odr7725;16/01/2019;22:20:07;Shandie Halshaw;0268-1340;Topi;;22;;;;;Bali - Website;Mark;JNT;
odr7726;23/01/2019;08:44:32;Eunice Rankmore;43857-0016;Cargo Pants;;18;;;;;Bandung - Tokopedia;Rizal;;2
odr7727;25/01/2019;19:21:27;Ogden Litchfield;58657-500;T-Shirt;;23;;;;;Bali - Shopee;Mark;JNT;2
odr7728;21/01/2019;01:24:02;Sig Elks;50458-210;;;10;;;;;Bali - Website;Nami;JNT;3
odr7729;27/01/2019;16:21:14;Lester MacTrustie;61480-127;Sweater;;6;;18;;;Bogor - Website;Rizal;Wahana;4
odr7730;20/01/2019;12:31:28;Hewitt Swainson;63304-791;Mug;;13;;;;;Bandung - Lazada;Wanokuni;Wahana;5
